  Age Group  ,  Gender  ,Which category of apps do you use MOST daily?  ,Average daily smartphone usage (in minutes)  ,  Most used app platform  ,  Average sleep duration per night (hours)  ,  Daily study/work hours  ,  Stress level due to smartphone usage  ,  How productive do you feel during the day?  ,  Overall productivity level  , Does smartphone usage affect your productivity?  
18–20,Male,"Social Media (Instagram, WhatsApp)",200.0,Instagram,5.0,4.0,8.0,4.0,Low,Negatively
21–23,Female,"Entertainment (Netflix, Games)",300.0,Netflix,5.0,4.0,7.0,5.0,Medium,Positively
21–23,Male,"Education (Coursera, YouTube Learning)",500.0,YouTube,6.0,6.0,7.0,7.0,Medium,Negatively
24–26,Female,"Social Media (Instagram, WhatsApp)",550.0,Instagram,5.0,3.0,8.0,3.0,Medium,Negatively
21–23,Male,"Social Media (Instagram, WhatsApp)",350.0,Games,8.0,2.0,4.0,6.0,Medium,Positively
18–20,Male,"Education (Coursera, YouTube Learning)",460.0,Educational Apps,5.0,8.0,7.0,8.0,High,Positively
18–20,Male,Mixed Usage,600.0,YouTube,6.0,6.0,8.0,7.0,Medium,Negatively
18–20,Male,Mixed Usage,420.0,YouTube,9.0,4.0,5.0,6.0,Medium,Negatively
21–23,Male,"Social Media (Instagram, WhatsApp)",240.0,Instagram,8.0,1.0,1.0,1.0,Medium,Positively
21–23,Male,"Social Media (Instagram, WhatsApp)",550.0,YouTube,6.0,7.0,5.0,8.0,Medium,Positively
18–20,Male,"Education (Coursera, YouTube Learning)",444.0,YouTube,4.0,6.0,6.0,4.0,High,Negatively
18–20,Male,"Social Media (Instagram, WhatsApp)",199.7537720078508,Instagram,5.461261521173854,3.544125637909043,7.203588975756043,4.731479986420595,Low,Negatively
21–23,Male,"Social Media (Instagram, WhatsApp)",350.0959424461236,Games,8.064786997595785,2.2612761660509912,3.604802395544046,6.7377242485452005,Medium,Positively
24–26,Female,"Social Media (Instagram, WhatsApp)",549.8071565166201,Instagram,4.656115441778146,4.34553114078436,7.785331218212836,3.6282702766428825,Medium,Negatively
18–20,Male,Mixed Usage,420.4278966900798,YouTube,9.55026348329013,3.705703953476749,4.453391934494973,6.296908988373125,Medium,Negatively
21–23,Male,"Education (Coursera, YouTube Learning)",499.41549794005545,YouTube,6.489999739657035,5.574608795083649,6.972371161199796,7.944156590075161,Medium,Negatively
21–23,Female,"Entertainment (Netflix, Games)",299.99876019528733,Netflix,4.395667626904532,3.615500111954517,6.3638213568789865,5.535393365131968,Medium,Positively
18–20,Male,Mixed Usage,599.0506818642564,YouTube,6.029957504309393,6.72073547670064,9.1908676999573,6.66416960787157,Medium,Negatively
24–26,Female,"Social Media (Instagram, WhatsApp)",550.4837654338463,Instagram,5.462221938209583,3.301283781417842,7.500741276140117,2.512255872738393,Medium,Negatively
21–23,Male,"Education (Coursera, YouTube Learning)",500.9362941847261,YouTube,6.744630719909761,6.046789587206105,7.579907059955484,7.015180677679584,Medium,Negatively
18–20,Male,"Social Media (Instagram, WhatsApp)",199.80164475115924,Instagram,4.742933732885009,4.384302633673673,7.1877230498672295,3.8061683193989935,Low,Negatively
21–23,Male,"Education (Coursera, YouTube Learning)",500.05622610177824,YouTube,5.778004718301979,5.848047344256361,6.827830236718008,7.264329660771319,Medium,Negatively
18–20,Male,"Education (Coursera, YouTube Learning)",460.5001867381547,Educational Apps,6.194186144545754,7.533557062061631,7.111136528696665,7.340121986277791,High,Positively
18–20,Male,"Education (Coursera, YouTube Learning)",459.5248681435048,Educational Apps,5.356249170936155,7.991650265187132,6.834838661484195,8.258665332011963,High,Positively
18–20,Male,"Education (Coursera, YouTube Learning)",459.8832289744888,Educational Apps,4.733795332366966,7.804410934793095,7.761897400444681,9.084633643950816,High,Positively
18–20,Male,"Education (Coursera, YouTube Learning)",444.2828500586328,YouTube,3.84754832474955,5.273102922059758,5.880053701555437,4.444693175991619,High,Negatively
